budget,popularity,revenue,runtime,vote_average,vote_count,title,id,cluster,distance,Rank
28000000,96.27238,33139618.0,117.0,7.9,3833.0,Blade Runner,78,0,0.7016,0.8952884807346776
0,60.581223,0.0,123.0,7.3,598.0,What Happened to Monday,406990,0,0.4561,0.5858029232722263
3300000,64.29999,13092000.0,105.0,8.3,4376.0,Whiplash,244786,0,0.8428,0.5279311763919355
11000000,40.796776,184770205.0,111.0,7.4,181.0,Wind River,395834,0,0.4117,0.39136737493899676
5000000,38.995136,10025571.0,98.0,6.8,651.0,Before I Fall,397837,0,0.3685,0.3834330142541606
0,37.96487,0.0,122.0,7.1,393.0,Girls Trip,417870,0,0.4168,0.3606775812458624
5000000,36.894806,252434250.0,104.0,7.2,2978.0,Get Out,419430,0,0.4476,0.34187586862883373
20000000,34.34759,207945075.0,110.0,7.6,2674.0,Me Before You,296096,0,0.4316,0.31940889038514475
15000000,41.048866,274925095.0,125.0,8.3,3968.0,Spirited Away,129,0,0.7161,0.3180227578375623
20000000,39.39497,229400000.0,116.0,8.3,3643.0,Life Is Beautiful,637,0,0.6568,0.31564088274984603
18000000,88.43924,20497844.0,110.0,5.4,1015.0,The Circle,339988,1,0.4412,0.942147361293326
6000000,78.8072,0.0,119.0,5.3,160.0,The Bad Batch,316154,1,0.493,0.8111879093484816
0,59.578823,0.0,90.0,5.3,127.0,Wish Upon,440597,1,0.4785,0.5996542006121441
5500000,52.854103,44235023.0,89.0,5.1,548.0,47 Meters Down,403119,1,0.4482,0.5363518343952762
5455000,50.949524,0.0,99.0,5.2,47.0,The Last King,360249,1,0.4646,0.5078508755717961
0,37.484577,422.0,99.0,5.5,277.0,2:22,269795,1,0.4222,0.37336820313600594
21500000,31.314013,4811525.0,98.0,5.5,164.0,Collide,195590,1,0.3698,0.3256919344281597
13000000,24.515463,20560255.0,90.0,5.5,274.0,Child's Play 3,11187,1,0.3761,0.24606435628288967
6500000,23.242453,255273813.0,99.0,5.5,1588.0,Annabelle,250546,1,0.3578,0.23939826722183757
3500000,34.145916,54947.0,102.0,4.1,135.0,The Mother of Tears,15206,1,0.6495,0.23937833071155096
34000000,228.03275,224511319.0,113.0,7.2,2083.0,Baby Driver,339403,2,1.0974,0.6949066152109804
20000000,183.87038,88761661.0,101.0,7.0,5499.0,John Wick,245891,2,1.2489,0.4457476462959129
97000000,72.88408,232380243.0,122.0,5.7,2677.0,Alien: Covenant,126889,2,0.4782,0.23878467754019617
110000000,68.72668,169801921.0,107.0,5.9,2547.0,Ghost in the Shell,315837,2,0.4977,0.21342210343803605
60000000,50.90359,71000000.0,95.0,5.7,688.0,The Dark Tower,353491,2,0.324,0.19836618949224744
40000000,49.247505,171539887.0,122.0,6.7,2924.0,John Wick: Chapter 2,324552,2,0.3578,0.178785455984495
68000000,42.06148,217022588.0,115.0,6.2,2524.0,Ted 2,214756,2,0.3282,0.15799437769963742
58000000,36.2638,100541806.0,103.0,6.3,1959.0,Life,395992,2,0.285,0.1482535826481733
69000000,35.63769,177856751.0,116.0,6.1,1829.0,Baywatch,339846,2,0.2932,0.14251772882975022
61000000,41.22577,311256926.0,132.0,6.5,3148.0,Maze Runner: The Scorch Trials,294254,2,0.3841,0.1339714628399783
38000000,88.56124,110824373.0,89.0,6.5,159.0,Captain Underpants: The First Epic Movie,268531,3,0.3943,0.6058786346396965
26000000,25.301567,30523226.0,116.0,6.3,1122.0,Self/less,238615,3,0.287,0.23068156451364008
0,67.955055,0.0,87.0,5.8,333.0,Boyka: Undisputed IV,348893,3,0.4407,0.22654490750199852
15000000,47.114365,0.0,87.0,6.0,113.0,Security,460846,3,0.3721,0.2080271358655027
30000000,15.106676,105173115.0,111.0,6.4,1194.0,Forgetting Sarah Marshall,9870,3,0.2696,0.1705550958229078
33000000,18.25092,54700105.0,124.0,6.1,786.0,The Punisher,7220,3,0.282,0.16686881977561252
30000000,15.809588,90810892.0,99.0,6.2,995.0,Drag Me to Hell,16871,3,0.2736,0.16585011812697775
30000000,18.502876,48428063.0,79.0,6.6,1291.0,9,12244,3,0.2865,0.15549140050557778
40000000,30.146847,0.0,88.0,5.9,91.0,The House,345914,3,0.3296,0.15075449945013336
28000000,17.861118,52597999.0,113.0,6.0,896.0,3 Days to Kill,192102,3,0.2867,0.14761259364688586
74000000,547.4883,1156730962.0,91.0,6.4,4729.0,Minions,211672,4,5.9842,0.38864858219047926
149000000,294.33704,820580447.0,141.0,7.2,5025.0,Wonder Woman,297762,4,2.6224,0.30138757919327774
160000000,287.25366,1262886337.0,129.0,6.8,5530.0,Beauty and the Beast,321612,4,3.2042,0.2234040439685802
152000000,146.16179,369907963.0,140.0,6.7,1675.0,War for the Planet of the Apes,281338,4,0.9843,0.21346778612521944
61000000,154.80101,369330363.0,145.0,7.9,6023.0,Gone Girl,210577,4,1.3439,0.18907614855223484
165000000,213.84991,652105443.0,102.0,7.8,6289.0,Big Hero 6,177572,4,2.3264,0.18726147056708953
125000000,147.098,752100229.0,123.0,6.6,5767.0,The Hunger Games: Mockingjay - Part 1,131631,4,1.5056,0.1569141290090396
200000000,185.331,863416141.0,137.0,7.6,4858.0,Guardians of the Galaxy Vol. 2,283995,4,2.3024,0.13778312399074943
34000000,76.93789,348319861.0,113.0,7.0,5540.0,The Maze Runner,198663,4,0.8366,0.10336643120091465
230000000,133.82782,794191988.0,129.0,6.6,2814.0,Pirates of the Caribbean: Dead Men Tell No Tales,166426,4,1.987,0.07883673390731066
