budget,popularity,revenue,runtime,vote_average,vote_count,title,id,cluster,distance
30000000,21.946943,373554033.0,81.0,7.7,5415.0,Toy Story,862,4,0.8393
65000000,17.015539,262797249.0,104.0,6.9,2413.0,Jumanji,8844,2,0.3268
0,11.7129,0.0,101.0,6.5,92.0,Grumpier Old Men,15602,3,0.3886
16000000,3.859495,81452156.0,127.0,6.1,34.0,Waiting to Exhale,31357,3,0.3396
0,8.387519000000001,76578911.0,106.0,5.7,173.0,Father of the Bride Part II,11862,3,0.3892
60000000,17.924927,187436818.0,170.0,7.7,1886.0,Heat,949,2,0.4052
58000000,6.677277,0.0,127.0,6.2,141.0,Sabrina,11860,2,0.3163
0,2.5611610000000002,0.0,97.0,5.4,45.0,Tom and Huck,45325,1,0.4369
35000000,5.23158,64350171.0,106.0,5.5,174.0,Sudden Death,9091,1,0.3367
58000000,14.686035999999998,352194034.0,130.0,6.6,1194.0,GoldenEye,710,2,0.2918
62000000,6.318445,107879496.0,106.0,6.5,199.0,The American President,9087,2,0.3007
0,5.430331,0.0,88.0,5.7,210.0,Dracula: Dead and Loving It,12110,3,0.4032
0,12.140733,11348324.0,78.0,7.1,423.0,Balto,21032,0,0.4077
44000000,5.092,13681765.0,192.0,7.1,72.0,Nixon,10858,0,0.3909
98000000,7.284477000000001,10017322.0,119.0,5.7,137.0,Cutthroat Island,1408,2,0.4198
52000000,10.137389,116112375.0,178.0,7.8,1343.0,Casino,524,0,0.4149
16500000,10.673167,135000000.0,136.0,7.2,364.0,Sense and Sensibility,4584,0,0.3599
4000000,9.026586,4300000.0,98.0,6.5,539.0,Four Rooms,5,3,0.3538
30000000,8.205447999999999,212385533.0,90.0,6.1,1128.0,Ace Ventura: When Nature Calls,9273,2,0.2734
60000000,7.337905999999999,35431113.0,103.0,5.4,224.0,Money Train,11517,2,0.3492
30250000,12.669608,115101622.0,105.0,6.4,305.0,Get Shorty,8012,3,0.2931
0,10.701801,0.0,124.0,6.5,199.0,Copycat,1710,3,0.3835
50000000,11.065939,30303072.0,132.0,6.0,394.0,Assassins,9691,2,0.2983
0,12.133094,0.0,111.0,6.3,143.0,Powder,12665,3,0.3831
3600000,10.332025,49800000.0,112.0,7.1,365.0,Leaving Las Vegas,451,0,0.3864
0,1.8458990000000002,0.0,123.0,7.0,33.0,Othello,16420,0,0.4199
12000000,8.681325,27400000.0,100.0,6.6,91.0,Now and Then,9263,3,0.3528
0,2.228434,0.0,104.0,7.4,36.0,Persuasion,17015,0,0.4582
18000000,9.822422999999999,1738611.0,108.0,7.6,308.0,The City of Lost Children,902,0,0.4203
0,9.481338000000001,180000000.0,99.0,6.4,249.0,Dangerous Minds,9909,3,0.3608
29500000,12.297305,168840000.0,129.0,7.4,2470.0,Twelve Monkeys,63,0,0.3713
30000000,14.404764000000002,254134910.0,89.0,6.0,756.0,Babe,9598,2,0.2863
11000000,6.891317,39363635.0,122.0,7.3,350.0,Dead Man Walking,687,0,0.3901
0,7.777735000000001,0.0,101.0,6.1,149.0,It Takes Two,33689,3,0.3858
12000000,9.882383,0.0,97.0,6.9,828.0,Clueless,9603,0,0.3421
0,4.561387,0.0,104.0,6.9,50.0,Richard III,31174,0,0.4097
10000000,9.87957,0.0,119.0,6.6,80.0,Dead Presidents,11443,3,0.3637
18000000,10.870138,122195920.0,101.0,5.4,452.0,Mortal Kombat,9312,1,0.3499
20000000,10.448481,21284514.0,106.0,6.7,177.0,To Die For,577,3,0.3351
10000000,4.485958,23574130.0,116.0,6.5,38.0,How To Make An American Quilt,11861,3,0.3596
33000000,18.45743,327311859.0,127.0,8.1,5915.0,Se7en,807,4,1.0031
55000000,13.280069000000001,346079773.0,81.0,6.7,1509.0,Pocahontas,10530,2,0.2952
6000000,16.302466,23341568.0,106.0,8.1,3334.0,The Usual Suspects,629,0,0.6116
15000000,15.899134,6700000.0,95.0,6.7,145.0,Mighty Aphrodite,11448,3,0.3511
0,5.9827639999999995,0.0,100.0,5.2,41.0,The Big Green,26441,1,0.458
0,8.416802,17519169.0,103.0,6.3,39.0,Home for the Holidays,9089,3,0.3864
0,10.168436999999999,0.0,108.0,7.6,181.0,The Postman,11010,0,0.4741
