budget,popularity,revenue,runtime,vote_average,vote_count,title,id,cluster,distance,Rank
18000000,88.43924,20497844.0,110.0,5.4,1015.0,The Circle,339988,1,0.4412,0.942147361293326
6000000,78.8072,0.0,119.0,5.3,160.0,The Bad Batch,316154,1,0.493,0.8111879093484816
0,59.578823,0.0,90.0,5.3,127.0,Wish Upon,440597,1,0.4785,0.5996542006121441
5500000,52.854103,44235023.0,89.0,5.1,548.0,47 Meters Down,403119,1,0.4482,0.5363518343952762
5455000,50.949524,0.0,99.0,5.2,47.0,The Last King,360249,1,0.4646,0.5078508755717961
0,37.484577,422.0,99.0,5.5,277.0,2:22,269795,1,0.4222,0.37336820313600594
21500000,31.314013,4811525.0,98.0,5.5,164.0,Collide,195590,1,0.3698,0.3256919344281597
13000000,24.515463,20560255.0,90.0,5.5,274.0,Child's Play 3,11187,1,0.3761,0.24606435628288967
6500000,23.242453,255273813.0,99.0,5.5,1588.0,Annabelle,250546,1,0.3578,0.23939826722183757
3500000,34.145916,54947.0,102.0,4.1,135.0,The Mother of Tears,15206,1,0.6495,0.23937833071155096
25000000,24.535732,83080890.0,102.0,4.8,1075.0,Rings,14564,1,0.4064,0.23347058543428456
35000000,20.02976,81093313.0,91.0,5.2,1619.0,Underworld: Blood Wars,346672,1,0.3393,0.21085911150904987
13000000,21.815353,0.0,96.0,5.3,198.0,I.T.,340677,1,0.4021,0.20449498168018476
0,21.505987,0.0,91.0,5.1,200.0,I Spit on Your Grave III: Vengeance is Mine,357096,1,0.4634,0.1750501774303126
10000000,17.602928,52882018.0,97.0,5.5,605.0,Sinister 2,283445,1,0.3603,0.17449935117445936
30000000,16.451227,0.0,92.0,5.4,665.0,Wild Card,265208,1,0.3414,0.16946044020505813
12000000,17.78858,265452.0,94.0,5.5,144.0,Life of Crime,209189,1,0.3869,0.16534362469273475
0,18.54675,75871032.0,92.0,5.4,323.0,The Pink Panther 2,15159,1,0.4084,0.1648273098114644
60000000,19.144611,71073932.0,101.0,4.7,565.0,xXx: State of the Union,11679,1,0.426,0.16414679268366875
38000000,17.02038,107597242.0,94.0,5.0,576.0,Paul Blart: Mall Cop 2,256961,1,0.3705,0.16358802417526716
7400000,19.225832,26667197.0,96.0,5.1,262.0,The Bye Bye Man,292280,1,0.4313,0.16282322497956075
0,21.079552,0.0,110.0,5.0,65.0,The Key,28468,1,0.483,0.16192792433094802
50000000,15.874491,60209334.0,107.0,5.3,291.0,Chain Reaction,12123,1,0.346,0.1609848721793006
0,18.947206,346472.0,119.0,5.3,355.0,High-Rise,254302,1,0.4288,0.16072713339014683
35000000,15.968492,95437994.0,93.0,5.0,924.0,Poltergeist,243688,1,0.3641,0.15438890732645044
45000000,17.502375,20350754.0,128.0,4.9,261.0,Showgirls,10802,1,0.4096,0.15249686676667293
42000000,14.007329,119946358.0,104.0,5.3,688.0,Rocky V,1375,1,0.3242,0.1490740632301452
0,17.767345,0.0,110.0,5.5,32.0,Operation Chromite,407887,1,0.426,0.14855578158748498
10000000,17.046053,30658387.0,97.0,5.3,93.0,When the Bough Breaks,335791,1,0.4083,0.1478813568068598
0,18.699821,0.0,94.0,5.2,119.0,Once Upon a Time in Venice,345915,1,0.4539,0.14730413000680814
35000000,13.492845,113374103.0,108.0,5.5,457.0,Species,9348,1,0.3168,0.14638170988331964
17000000,14.786032,63102666.0,104.0,5.5,304.0,Jeepers Creepers 2,11351,1,0.3546,0.1450236356029542
30000000,14.313079,55583804.0,107.0,5.3,518.0,Cop Out,23742,1,0.3453,0.14360552708691116
20000000,15.033568,0.0,96.0,5.4,407.0,Survivor,334074,1,0.3653,0.14329748159923344
4000000,16.34615,0.0,96.0,5.5,275.0,Wrong Turn 2: Dead End,13186,1,0.4005,0.14325929438266302
35000000,13.955376,68349884.0,91.0,5.3,540.0,Ghost Ship,9645,1,0.3399,0.1418415604156601
1000000,18.847708,1574623.0,66.0,5.1,103.0,9 Songs,27,1,0.4747,0.14017549899900827
40000000,14.228963,19726050.0,121.0,5.4,117.0,Color of Night,2124,1,0.3534,0.13922532110838726
27000000,13.787108,56870414.0,82.0,5.5,251.0,Lake Placid,9825,1,0.3458,0.13743979933194128
40000000,13.471159,88100000.0,95.0,5.2,756.0,Season of the Witch,23047,1,0.3383,0.13703723467668544
46000000,15.019586,341631208.0,91.0,5.0,559.0,The Flintstones,888,1,0.3866,0.13412484617086096
35000000,13.349518,36779296.0,106.0,5.5,120.0,Bounce,10862,1,0.343,0.1336711436792145
26000000,13.795875,67918658.0,100.0,5.2,643.0,Legion,22894,1,0.3564,0.13305302177126174
25000000,14.723646,71009334.0,117.0,5.0,724.0,The Counselor,109091,1,0.3816,0.13289077797270693
20000000,14.114136,36620508.0,101.0,5.4,223.0,My Best Friend's Girl,13596,1,0.3667,0.1322967709972418
25000000,13.018491,50671850.0,89.0,5.5,366.0,Bride of Chucky,11932,1,0.3416,0.13051632325480314
35000000,13.270616,0.0,106.0,5.4,245.0,Playing for Keeps,77875,1,0.3524,0.12879978717520846
26000000,13.003122,183293131.0,91.0,5.2,807.0,Paul Blart: Mall Cop,14560,1,0.3472,0.12797237913795384
0,16.295092,0.0,93.0,5.4,38.0,A Real Young Girl,1631,1,0.4365,0.1274457908564421
16000000,13.483131,31556061.0,100.0,5.3,858.0,Jennifer's Body,19994,1,0.3619,0.12718503874489664
0,16.388563,0.0,97.0,5.3,127.0,Northmen: A Viking Saga,286873,1,0.4409,0.1266417944444215
25000000,13.105682,34942188.0,81.0,5.4,330.0,The Sitter,57431,1,0.3578,0.12464737274330878
0,15.317489,0.0,94.0,5.4,383.0,Cube²: Hypercube,437,1,0.4173,0.12450467764953596
33000000,13.470227,0.0,99.0,5.3,190.0,Snow Dogs,11888,1,0.3683,0.12433042407143427
45000000,14.386089,136885767.0,89.0,4.8,624.0,Anaconda,9360,1,0.3967,0.12267909372417446
10000000,15.860139,0.0,94.0,5.1,74.0,Into the Grizzly Maze,244316,1,0.4403,0.12091381863100414
9900000,14.282584,2400000.0,92.0,5.3,376.0,Friend Request,368031,1,0.3995,0.12032240393526786
43000000,13.802674,56681566.0,97.0,4.9,590.0,Elektra,9947,1,0.3877,0.11988356166623595
5000000,15.909181,6341855.0,91.0,5.1,142.0,Incarnate,241258,1,0.449,0.1177870677757826
40000000,11.429831,13644292.0,115.0,5.5,397.0,The Gunman,266396,1,0.3298,0.11752613666881984
50000000,12.280827,79958599.0,101.0,5.3,111.0,Exit Wounds,10877,1,0.3537,0.11704494492338424
40000000,15.534707,0.0,87.0,4.8,67.0,North,31586,1,0.4427,0.11621414409612482
35000000,10.40191,115664037.0,95.0,5.5,771.0,A Nightmare on Elm Street,23437,1,0.3072,0.1154543230040121
5000000,14.830235,31724284.0,94.0,5.0,1580.0,Spring Breakers,122081,1,0.4259,0.11534923770774605
15000000,13.412785,10611160.0,122.0,5.4,91.0,The Dark Half,10349,1,0.3898,0.11458116952469541
25000000,11.715868,19075720.0,97.0,5.5,380.0,Johnny Mnemonic,9886,1,0.3447,0.11445834481639913
28000000,13.162168,14051384.0,123.0,5.2,166.0,Blues Brothers 2000,11568,1,0.3846,0.11394480472642551
42000000,12.11759,32168970.0,124.0,5.3,175.0,Reindeer Games,2155,1,0.3581,0.11333494506519362
40000000,10.829432,28169671.0,109.0,5.5,354.0,Cirque du Freak: The Vampire's Assistant,24418,1,0.3288,0.11115267129054408
45000000,11.618472,57881056.0,86.0,5.3,254.0,Aliens in the Attic,20856,1,0.3511,0.11064726163021699
12000000,15.216315,24829644.0,87.0,4.9,302.0,Seed of Chucky,11249,1,0.4482,0.1102822172912501
4000000,13.90542,16853487.0,93.0,5.4,117.0,Death Warrant,17466,1,0.4157,0.1091968278823787
12000000,13.300519,41744718.0,131.0,5.3,153.0,Casino Royale,12208,1,0.4,0.10899356423158435
20000000,12.72212,37597471.0,97.0,5.2,295.0,The Covenant,9954,1,0.3855,0.10858246653707071
32000000,10.912208,58500000.0,107.0,5.5,181.0,Skiptrace,270774,1,0.3388,0.1078576303927222
26000000,12.59201,28818995.0,100.0,5.2,145.0,Agent Cody Banks 2: Destination London,17047,1,0.385,0.1073211832554917
35000000,9.576745,147934180.0,88.0,5.5,893.0,Spy Kids,10054,1,0.3045,0.10725590505449258
35000000,10.378902,117270765.0,94.0,5.5,280.0,Dennis the Menace,12139,1,0.3263,0.10711058580420711
18000000,16.219484,266586800.0,93.0,4.6,218.0,The Prince,241254,1,0.4833,0.10678372603392153
45000000,11.101549,30822861.0,99.0,5.4,173.0,Pathfinder,1534,1,0.3465,0.10674231875977894
17000000,12.396344,0.0,91.0,5.5,57.0,The Hunter's Prayer,302150,1,0.3814,0.10662975170059974
0,14.214403,30.0,115.0,5.4,81.0,The Getaway,2087,1,0.4322,0.1057116499840296
25000000,11.007319,72629670.0,96.0,5.3,573.0,The Transporter Refueled,287948,1,0.3486,0.10478687547880103
10000000,12.928712,443684.0,129.0,5.4,179.0,Song to Song,330947,1,0.4,0.10478461048517329
17500000,12.167265,25024919.0,116.0,5.4,103.0,Cocoon: The Return,11285,1,0.3803,0.10450204426981435
30000000,10.424946,33333531.0,115.0,5.4,610.0,The Box,22825,1,0.3351,0.10390757194148172
30000000,12.17886,967000.0,92.0,5.2,185.0,TEKKEN,42194,1,0.3843,0.10294046505432902
3150000,14.386348,0.0,100.0,5.2,99.0,GirlHouse,312791,1,0.4439,0.10270656550624205
18000000,10.870138,122195920.0,101.0,5.4,452.0,Mortal Kombat,9312,1,0.3499,0.10268377603269928
30000000,9.863584,68369434.0,104.0,5.5,534.0,The X Files: I Want to Believe,8836,1,0.3232,0.10258898838848593
0,13.934252,0.0,104.0,5.4,73.0,Clinical,433244,1,0.4326,0.1023709796159335
25000000,12.881025,38348988.0,93.0,5.1,49.0,City Heat,16969,1,0.4045,0.10234034648410764
9000000,12.597613,0.0,89.0,5.5,109.0,The Punisher,8867,1,0.3972,0.10222147264897158
0,14.950975,0.0,85.0,5.2,34.0,"Guns, Girls and Gambling",132923,1,0.4609,0.10190374930459598
30000000,13.371056,54819301.0,92.0,4.9,143.0,The Three Stooges,76489,1,0.4188,0.10183573231759493
35000000,11.836827,19478106.0,76.0,5.2,239.0,Valiant,14175,1,0.378,0.101734783568418
10000000,12.61223,3727746.0,122.0,5.4,159.0,By the Sea,314385,1,0.3989,0.10166748562861538
0,13.517632,3302463.0,104.0,5.5,57.0,The Protector 2,110552,1,0.4235,0.10150592900047517
21000000,10.863441,49050886.0,92.0,5.5,248.0,Death at a Funeral,34803,1,0.3536,0.10104209517777753
50000000,12.285545,83761844.0,87.0,5.0,150.0,Marmaduke,38579,1,0.3921,0.10084714602968908
7000000,17.395203,0.0,105.0,4.6,50.0,Wild Orchid,5203,1,0.5291,0.10071020363219815
42000000,11.214779,60845711.0,90.0,5.2,207.0,Snatched,373569,1,0.3645,0.10040635136765827
0,14.129281,0.0,90.0,5.3,110.0,Sharpay's Fabulous Adventure,60405,1,0.4431,0.10013506983818582
30,13.390917,0.0,102.0,5.4,223.0,Striking Distance,11074,1,0.4241,0.0998175600702978
0,16.227875,0.0,91.0,4.9,47.0,Bedeviled,407531,1,0.5003,0.09968415879020359
0,13.382027,39881.0,91.0,5.3,425.0,Killing Season,77663,1,0.4265,0.09870122017586411
0,12.910289,0.0,89.0,5.5,280.0,You Get Me,412105,1,0.4139,0.0986934545012163
70000000,15.321902,38629478.0,114.0,4.6,183.0,Basic Instinct 2,3093,1,0.4788,0.09852730152479863
0,13.869345,366377.0,90.0,5.3,149.0,The Oranges,89008,1,0.4407,0.09820822350854602
13200000,14.202364,15171476.0,115.0,4.9,185.0,Grease 2,9037,1,0.4505,0.09783064279049292
30000000,10.000208,57814445.0,87.0,5.5,289.0,Nine Lives,322240,1,0.3385,0.09766051749873174
21000000,12.397494,0.0,98.0,5.1,292.0,Rage,242310,1,0.4036,0.09724753681808104
0,13.415919,0.0,92.0,5.4,109.0,Picture This,15671,1,0.4321,0.09671492453700509
20000000,14.27281,78378744.0,86.0,4.6,813.0,Scary Movie 5,4258,1,0.4562,0.0962158201438143
0,13.454531,0.0,95.0,5.4,55.0,Science Fiction Volume One: The Osiris Child,354282,1,0.4348,0.09600935215942996
0,13.079538,0.0,98.0,5.5,51.0,Hellion,244536,1,0.4251,0.09586946535535293
35000000,10.08043,85416905.0,100.0,5.2,625.0,Max Payne,13051,1,0.3451,0.09577547514737701
40000000,11.366417,87840042.0,96.0,5.0,344.0,Spawn,10336,1,0.3804,0.09539391417403967
0,14.820751,0.0,81.0,5.1,58.0,Return to House on Haunted Hill,13564,1,0.4735,0.095097146445289
5000000,13.288564,103590271.0,89.0,4.9,1006.0,Ouija,242512,1,0.4328,0.0949769799233954
36000000,9.13273,83160734.0,105.0,5.4,627.0,Hall Pass,48988,1,0.322,0.09482337979861681
40000000,9.825841,62771059.0,99.0,5.4,209.0,The Reaping,1683,1,0.3411,0.09458629514005348
55000000,10.519481,31987563.0,117.0,5.3,136.0,Metro,8860,1,0.3613,0.09388966173277725
39000000,9.614638,75850624.0,125.0,5.3,500.0,Superman III,9531,1,0.3377,0.0936343359560714
0,14.098705,0.0,181.0,5.5,54.0,Salem's Lot,36763,1,0.458,0.09348313365708916
