budget,popularity,revenue,runtime,vote_average,vote_count,title,id,cluster,distance,Rank
34000000,228.03275,224511319.0,113.0,7.2,2083.0,Baby Driver,339403,2,1.0974,0.6949066152109804
20000000,183.87038,88761661.0,101.0,7.0,5499.0,John Wick,245891,2,1.2489,0.4457476462959129
97000000,72.88408,232380243.0,122.0,5.7,2677.0,Alien: Covenant,126889,2,0.4782,0.23878467754019617
110000000,68.72668,169801921.0,107.0,5.9,2547.0,Ghost in the Shell,315837,2,0.4977,0.21342210343803605
60000000,50.90359,71000000.0,95.0,5.7,688.0,The Dark Tower,353491,2,0.324,0.19836618949224744
40000000,49.247505,171539887.0,122.0,6.7,2924.0,John Wick: Chapter 2,324552,2,0.3578,0.178785455984495
68000000,42.06148,217022588.0,115.0,6.2,2524.0,Ted 2,214756,2,0.3282,0.15799437769963742
58000000,36.2638,100541806.0,103.0,6.3,1959.0,Life,395992,2,0.285,0.1482535826481733
69000000,35.63769,177856751.0,116.0,6.1,1829.0,Baywatch,339846,2,0.2932,0.14251772882975022
61000000,41.22577,311256926.0,132.0,6.5,3148.0,Maze Runner: The Scorch Trials,294254,2,0.3841,0.1339714628399783
